脑室外引流术	External Ventricular Drain
与切除其他类型的病灶不同，手术切除血管网织细胞瘤时，不能进行分块切除减容。	The operative technique for removal of hemangioblastomas is unique in that these lesions cannot be debulked.
血管网织母细胞瘤的实质部分与AVM类似，由薄壁的蜂窝样组织构成，因此不适合用双极电凝烧灼。	The parenchyma of hemangioblastomas resembles those of AVMs made of thin-walled honeycomb channels that are not readily amenable to bipolar coagulation.
在切除前，最关键的步骤时识别和离断进入病灶的终末供血动脉，但需要保护过路的供血动脉主干。	Before removal, the key step involves identification and sacrifice of the terminal, and not en passage major arterial feeders, to the lesion.
在成功限制进入肿瘤的动脉血后，肿瘤体积会缩小，从而给出探查肿瘤包膜边界以及四脑室的手术空间。	Upon restriction of arterial blood flow to tumor segments, the tumor may decrease in size and facilitate exploration of its capsule, including the fourth ventricle.
可逐步分段将乏血供的病灶部分从周围的神经血管组织上游离出来，该步骤应围绕肿瘤周边反复进行。	The devascularized portions of the lesion may then be segmentally dissected away from the surrounding neurovascular tissues; this step is repeated in a circumferential pattern.
非常重要的一点，是需要保持主要引流静脉通畅，直到肿瘤从小脑和脑干上完全分离出来。	It is paramount to maintain patency of the major draining veins until the lesion is completely separated from the cerebellum and brainstem.
考虑到可能会有丰富的软脑膜供血，以保持病灶的灌注。	There can be significant pial supply, which can maintain perfusion to segments of the lesion.
因此，必须将病灶从脑干和小脑上完全游离出来，以保证切断所有的动脉供血。	Therefore, complete dissection of the lesion from the brainstem and cerebellum must be completed to ensure complete removal of the perfusing arterial supply.
此后，可以电凝主干引流静脉，以便切除肿瘤。	After this is achieved, the major draining veins can be coagulated to facilitate removal of the lesion.
可以参考“血管网织母细胞瘤”一章，获取更加详细的信息。	For more details, refer to the chapter on Hemangioblastoma.
松果体母细胞瘤	Pineoblastoma
这类少见肿瘤，病理分级归为WHO IV级，占据了近40%的松果体区原发肿瘤。	These infrequent tumors are ranked WHO grade IV, although they account for approximately 40% of primary pineal tumors.
主要发现于儿童人群中，发病不存在性别偏向。	They are identified primarily in the pediatric population and have no sex predilection.
文献中有VP分流术后继发肿瘤播散的报道。	An occurrence of ventriculoperitoneal shunt-mediated dissemination has been reported.
治疗方案包括显微手术切除或病理活检明确诊断后联合辅助治疗。	Options for therapy include microsurgical resection or diagnostic biopsy followed by adjuvant therapy.
建议在安全的情况下全切肿瘤。	Safe gross total resection is advised.
肿瘤可侵犯顶盖区，但往往能有效地解离出来。	The tumor can infiltrate the tectal region, but usually can be dissected effectively.
需要对整个神经轴进行影像学检查，以排查病灶转移的发生。	The entire neuroaxis should be imaged to rule out metastatic lesions.
图12：松果体母细胞瘤典型地表现为T2相等信号，注射造影剂后不均匀强化。	Figure 12: Pineoblastomas typically are T2 isointense and heterogeneously enhance upon administration of contrast.
脊索样胶质瘤	Chordoid Glioma
这类少见的胶质细胞肿瘤属于WHO II级，最常起源于三脑室。	These rare glial tumors are WHO grade II and most commonly originate within the third ventricle.
最佳的治疗方案是手术全切。	The treatment of choice is gross total resection.
如果无法达到手术全切，肿瘤可能会复发。	If complete resection is not achieved, the tumor will recur.
鉴于临床试验中发现各种辅助治疗的效果有限，故目前并未被推荐用于治疗脊索样胶质瘤。	Adjuvant therapies are not a proven option for the treatment of choroidal gliomas due to their poor efficacy in clinical trials.
这类肿瘤与三脑室底粘连，因此对该部位不推荐强行切除。	This tumor tends to adhere to the floor of the ventricle; aggressive resection at this site is not advised.
最常用的手术入路为经胼胝体扩大的经室间孔入路。	The most common approach to this type of tumor is a transcallosal expanded transforaminal route.
图13：如图所示为典型的脊索样胶质瘤。	Figure 13:  The imaging characteristics of a chordoid glioma are depicted.
脉络丛乳头状瘤	Choroid Plexus Papilloma
这类肿瘤占颅内肿瘤的0.5-0.6%，属于WHO I级，最常见于儿童人群。	These lesions account for 0.5-0.6% of intracranial tumors and are considered WHO grade I lesions. Choroid plexus papillomas are most often found in the pediatric population.
手术切除时治疗的首选方案。	Management should involve surgical resection as the treatment of choice.
脉络丛乳头状瘤血供丰富。	Choroid plexus papillomas are highly vascular.
手术要点包括早期处理近端的脉络丛供血动脉，以便能离断肿瘤血供。	Intraoperative pearls include early impediment of proximal choroidal feeding arteries, facilitating devascularization of the tumor mass.
之后可使用超声吸引进行瘤内减压。	Debulking with an ultrasonic aspirator follows this step.
在切除肿瘤后，应切除参与的看似未病变的脉络丛组织，以降低肿瘤复发的风险。	Following removal of the tumor mass, the remaining nonpathologic appearing choroid plexus should be resected to decrease the risk of recurrence.
图14：脉络丛乳头状瘤强化明显，边界及其不规则。	Figure 14:  Choroid plexus papillomas intensely enhance with administration of contrast and have very irregular borders.
在T2加权相上亦表现为高信号。	They are also hyperintense on T2 weighted images.
生殖细胞肿瘤	Germ Cell Tumor
这类肿瘤占颅内肿瘤的0.4-3.4%，以生殖细胞瘤为主，占65%。	These tumors represent 0.4-3.4% of intracranial tumors, with germinomas making up the majority (65%).
接下来的病理类型包括畸胎瘤（18=20%）和混合性的生殖细胞肿瘤（25%）。	Less common types include teratomas (18−20%) and mixed germ cell tumors (25%).
大部分肿瘤发现于儿童人群（10-21岁）。	Most cases are found in the pediatric population (10-21 years old).
在超过30岁的年龄段中非常少见。	Germ cell tumors are rare in patients older than 30 years.
松果体区和三脑室都是常见的原发部位。	The pineal region and third ventricle are primary sites of involvement.
因此，临床表现包括占位效应，继发梗阻性脑积水，颅神经麻痹，视路破坏，小脑功能失调，或内分泌异常。	Therefore, the clinical presentation results from mass effect, generating obstructive hydrocephalus, cranial nerve palsies, optic pathway disruption, cerebellar dysfunction, or endocrine abnormalities.
治疗方案包括显微手术切除，内镜下手术切除，诊断性活检和辅助治疗。	Options for therapy include microsurgical resection, endoscopic removal, diagnostic biopsy, and adjuvant therapy.
详细情况可参考“松果体区肿瘤”一章。	For more details, please refer to the chapter on Pineal Region Tumors.
推荐通过脑脊液化验和内镜下活来评估肿瘤的性质。	Preoperative characterization of these tumors through cerebrospinal fluid studies and endoscopic biopsy is recommended.
室管膜下巨细胞瘤（SEGA）	Subependymal Giant Cell Astrocytoma (SEGA)
SEGAs起源自侧脑室壁，是WHO I级的肿瘤。	The SEGAs are WHO grade I lesions that originate from the lateral ventricular wall.
这类肿瘤特别偏向于结节性硬化的患者，而且它们的存在会提示患者预后不良。	They demonstrate a special predilection for patients suffering from tuberous sclerosis and their presence is a poor prognostic sign.
相反，在普通人群中，SEGA则是一类生长缓慢的良性病灶，具有很低的恶性倾向。	In contrast, in the general population, they are considered benign slow-growing lesions with a low malignant potential.
SEGAs的临床表现包括梗阻性脑积水或脑室内出血。	The clinical presentation of SEGAs typically involves obstructive hydrocephalus or intraventricular hemorrhage.
与其他低级别胶质瘤类似，对于偶然发现的SEGA的最佳治疗策略还存在争议。	Similar to other low-grade gliomas, the best strategy for an incidentally identified SEGA is debated.
对于无症状、小的偶发病灶，影像学随访是最合理的治疗手段。	In asymptomatic patients with small incidental lesions, follow-up radiographic imaging is most reasonable.
图15：多发的室管膜下结节，考虑SEGA，偏向于占据蒙氏孔周围区域。	Figure 15: Multiple subependymal nodules of SEGA are present. They have a special predilection for the region of the foramen of Monro.
额下经终板入路开颅术	Subfrontal Translamina Terminalis Approach
总体原则和入路指征	General Considerations and Indications for the Approach
终板由薄层灰质、软脑膜和室管膜构成，其上界为前联合、外侧为大脑半球，下方为视交叉上部。	The lamina terminalis is a thin membrane composed of gray matter, pia mater, and ependyma bordered superiorly by the anterior commissure, laterally by the cerebral hemispheres and inferiorly by the superior aspect of the optic chiasm.
在胚胎时期，这层薄膜标志着发育中的神经管的最前端。	Embryologically, this lamina represents the most rostral end of the developing neural tube.
采用额下经终板入路，可以经三脑室前壁处理三脑室前部的病变。	The subfrontal translamina terminalis approach uses the anterior wall of the third ventricle (lamina terminalis) to reach anterior lesions in this chamber.
笔者很少用此入路，只是在处理实性颅咽管瘤和下丘脑错构瘤时用到。	I use this approach rarely, mainly for large predominately solid craniopharyngiomas and hypothalamic hamartomas.
经鼻-鞍结节入路则能比较理想的显露囊性颅咽管瘤。	Cystic craniopharyngiomas are ideally exposed via the transnasal transtuberculum route.
额下入路处理三脑室实性颅咽管瘤需要改良眶颧开颅，获得由下至上的额下手术角度，便于处理肿瘤的上极，而不过度牵拉额底。	The subfrontal approach for a solid third ventricular craniopharyngioma requires a modified orbitozygomatic craniotomy, so an inferior-to-superior subfrontal operative trajectory facilitates handling of the superior pole of the tumor without aggressive retraction of the basal frontal lobe.
额下经终板入路是一种受限的、不能安全扩大的非弹性手术通道，用此入路全切肿瘤可能存在一定困难。	The subfrontal translamina terminalis approach is a restricted, nonflexible operative corridor that cannot be safely expanded. Gross total tumor resection can be problematic.
将其改良为前纵裂入路或许可提供更多的手术操作空间，但无法做到微创。	The anterior interhemispheric modification of this approach may provide more extended operative space but is not minimally disruptive.
该入路手术通道狭窄，术后常导致认知功能下降，最可能的原因是对脑室壁盲操作造成的。	The manipulations required through this narrow corridor often lead to cognitive decline, most likely because of blind dealings with the ventricular wall.
尽管使用了眶颧开颅，也无法完全避免牵拉额叶。	Despite use of an orbitozygomatic craniotomy, a fair amount of retraction on the frontal lobe is necessary.
图1三脑室实性颅咽管瘤是眶颧开颅额下经终板入路的良好指征	Figure 1: A predominately solid craniopharyngioma of the third ventricle is a reasonable candidate for the subfrontal translamina terminalis approach using an orbitozygomatic craniotomy.
第三脑室内肿瘤术前具体注意事项，可参考《脑室内肿瘤手术原则》这一章节。	For a specific discussion of the preoperative considerations for third ventricular tumors, see the Principles of Intraventricular Surgery chapter.
术前须对内分泌和眼科状况进行评估。	Preoperative endocrinological and ophthalmological evaluations are necessary.
该术式适合累及终板、三脑室底且前、下极没有被视通路覆盖的肿瘤。	The lamina terminalis should be affected by the tumor and the optic apparatus should not be covering the anterior and inferior poles of the tumor. The floor of the ventricle should also be affected by the tumor.
三脑室底完整时禁用该入路，但适用经胼胝体-室间孔-静脉-脉络裂入路（transcallosal transforaminal transvenous transchoroidal approach）。	An intact third ventricular floor is a contraindication for the use of this route and supports the use of the transcallosal transforaminal transvenous transchoroidal approach.
终板解剖概述如下图。	The anatomy of the lamina terminalis is summarized in the following images.
图2：上排图显示了较薄的终板（黄色箭头）与视交叉的关系。	Figure 2: The upper images demonstrate the attenuated texture of the lamina terminalis (yellow arrows) in relation to the chiasm.
下排图为经终板观察第三脑室，这需广泛解剖分离前纵裂，并充分牵拉双侧额叶才能获得，并不是手术视野。	A view of the third ventricle through the lamina is depicted in the lower image, however, this is a non-operative view achieved via an anterior interhemispheric dissection requiring undue retraction on bilateral frontal lobes.
注意终板与前交通动脉复合体的关系密切（图片由AL Rhoton, Jr授权）。	Note the intimate relationship of the anterior communicating artery complex to the lamina (images courtesy of AL Rhoton, Jr).
眶颧开颅-额下经终板入路	SUBFRONTAL TRANSLAMINA TERMINALIS APPROACH VIA AN ORBITOZYGOMATIC CRANIOTOMY
此入路尤其适用于突破终板向鞍上小部分生长的实性肿瘤。	This approach is especially favorable if the solid tumor extends through the lamina terminalis and has a small suprasellar component.
肿瘤主体如位于鞍上，则通过内镜下经鼻蝶-终板入路切除。	Tumors with primarily suprasellar components are resected through the endoscopic transnasal transsphenoidal translamina terminalis approach.
额下经终板入路的优势在于提供了对终板、视神经、视交叉、双侧颈内动脉、前交通动脉复合体、双侧A2段、后交通动脉、相应穿支以及垂体柄的良好视野。	This subfrontal translamina terminalis approach offers the advantage of providing excellent visualization of the lamina terminalis, optic nerves, optic chiasm, bilateral internal carotid arteries, anterior communicating artery complex, bilateral A2 segments, posterior communicating arteries, associated perforating branches, and the pituitary stalk.
图3：额下经终板入路对三脑室前部的显露有限，但适用于终板及手术通路受肿瘤侵袭而扩大的病变。	Figure 3: The subfrontal translamina terminalis approach provides a limited exposure to the anterior third ventricle and is suitable for lesions enlarging the lamina terminalis and the associated operative pathway.
眶上开颅并眶缘切除是该手术方向上另一种可选择的颅底入路。	A supraorbital craniotomy and orbital rim osteotomy is another reasonable skull base approach for this operative pathway.
在到达终板的过程中，需动态牵拉并广泛解剖分离双侧视神经上的蛛网膜，牵开方向应要平行于同侧的视神经。	The use of dynamic retraction and wide arachnoidal dissection over bilateral optic nerves are necessary in reaching the lamina terminalis. The vector of retraction is parallel to the ipsilateral optic nerve.
图4：要显露终板并经其操作，必须适度牵拉额叶。	Figure 4: A fair amount of frontal lobe retraction is necessary to expose and work through the lamina terminalis.
终板被肿瘤侵犯后，其颜色与视交叉相比，明显变得浅灰。	The lamina is invaded by the tumor and has a distinct grayish color compared to the chiasm.
在切开终板时，必须仔细保护视交叉，在视交叉上充分细致解剖，辨清终板的确切边界。	The chiasm must be carefully protected from the incision in the lamina. Generous microsurgical dissection over the chiasm allows identification of the exact borders of the lamina.
图5：经左侧眶颧开颅显露终板（术前相关图像见图1），浅灰色的肿瘤致终板扩大。	Figure 5: This is an exposure of the lamina terminalis via a left-sided orbitozygomatic craniotomy (see Figure 1 for the corresponding preoperative scans). The grayish tumor has expanded the lamina.
已标记出前交通动脉复合体，	The anterior communicating artery complex (AComm) is labeled.
要避免过度牵拉血管结构。	Undue retraction of this vascular structure should be avoided.
读者可体会手术通道的狭窄。	You can appreciate the narrow operative corridor.
图6：动态牵拉可精准扩大显微器械操作的手术空间。	Figure 6: Dynamic retraction allows precise expansion of the operative corridor at the working site of the instruments.
将肿瘤减容后从术腔取出（参见上图5）。	The tumor is debulked and rolled out of the resection cavity (see Figure 5 above).
经终板入路存在很多手术盲点，	There are numerous blind spots associated with the translamina terminalis approach.
这些盲点包括三脑室后方、上方以及同侧下丘脑壁。	These blind spots include the posterior and superior aspects of the third ventricle and the ipsilateral wall of the hypothalamus.
因此，过度牵拉不可避免，这就会损伤穹隆柱、视上核、终板血管器、灰结节和穿支血管。	Consequently, excessive retraction is unavoidable, causing injury to the fornix, the supraoptic nuclei, the organ vasculosum, the tuber cinerum, and perforating vessels.
如果肿瘤长入鞍区，则鞍内部分可通过双侧视神经间隙（第I间隙）切除。	If the tumor reaches into the sella, the intrasellar portion of the tumor may be removed via the corridor between the optic nerves.
但笔者不推荐这种操作，因为盲操作易损伤视神经及其穿支血管而导致并发症，若视交叉前置则会进一步限制了操作空间。	However, I do not recommend this maneuver because of its associated morbidity that results from the blind manipulation of the optic nerves and their perforating vessels. The prefix chiasm can limit this working space.
图7：中间的术中图片标出了终板的薄层膜（*）。	Figure 7: The thin membrane of the lamina terminalis is shown in the middle intraoperative photo (*).
其它图片（顺时针方向）详细描绘了下丘脑错构瘤的手术切除。	The other illustrations (clockwise) detail the operative maneuvers for resection of a hypothalamic hamartoma.
关于脑室肿瘤患者的术后管理，请详见《脑室内手术原则》章节。	For a detailed discussion of recommendations for postoperative care of patients with ventricular tumors, see the Principles of Intraventricular Surgery chapter.
· 额下经终板入路有其局限性，适用于经鼻内镜无法切除的小肿瘤。	The subfrontal translamina terminalis approach is restrictive and should be used in the case of small tumors that are not amenable to its endoscopic transnasal counterpart.
经此入路全切体积较大的肿瘤无可避免的会过度牵拉肿瘤周围正常神经血管结构，可能导致术后并发症。	Gross total resection of large tumors is problematic and not usually feasible without undue retraction on the surrounding normal neurovascular structures.
AVM术中破裂紧急处理技巧	Intraoperative Rupture and Complication Management
动静脉畸形的术中破裂，相比于其他术中可能遇到的情况，是一项非常独特的挑战。	Intraoperative rupture (IOR) of an arteriovenous malformation (AVM) presents unique challenges to the surgeon unlike any others.
与动脉瘤手术相比，在动静脉畸形破裂时不能够通过近端阻断来迅速控制出血情况。	In contrast to aneurysm surgery, there is no proximal control that can save the surgeon and bring the situation under control quickly.
动静脉畸形术中破裂的处理是对于神经外科医生的沉着和成熟度，及技术技巧的最高级别的检测。	The AVM’s IOR tests the surgeon’s highest level of temperament and maturity, as well as his or her technical fluency and efficiency.
最好的应对方式是避免引起动静脉畸形的破裂。	The best strategy for managing an IOR is to avoid it.
因此我们需要深究导致动静脉畸形术中破裂的根本原因。	Therefore, we must analyze the most common underlying causes for IOR during AVM surgery.
笔者曾遇到过许多在处理主要引流静脉下方的供血动脉出血时，无意中损伤引流静脉而导致的畸形血管团术中破裂。	I have been involved with numerous IORs because of an inadvertent injury to the primary draining vein during management of bleeding from a feeding vessel underneath this major draining vein.
笔者也曾在打开硬膜的过程中误伤重要静脉。	I have also accidentally injured primary veins during the dural opening.
激进地对畸形血管团或包裹在畸形血管团上的主要引流静脉进行电凝，会导致动静脉畸形引流系统的骤然改变，从而不可避免的导致更严重的情况。	Aggressive coagulation of the nidus or the primary vein wrapped on the deep walls of the nidus leads to acute changes in the AVM’s drainage systems and is a guaranteed recipe for disaster.
在开硬膜的过程中，术者应尽可能去保护静脉，并且完整的保留跨越静脉处的硬膜。	During dural opening, the surgeon should consider all of the factors necessary to preserve the vein and leave the dura over the vein intact.
过分追求紧贴静脉切开硬膜可能会带来损害。	Overzealous efforts to dissect the dura along the vein can be harmful.
通常在主要引流静脉的下方，会有1-3条较大的供血动脉；由于重要静脉下方的空间较小，这些动脉处理起来通常比较困难。	There are often one to three sizable feeding arteries under the primary draining vein; these arteries present unique challenges in their control because of the limited space available underneath the vital vein for their manipulation.
最好在早期不要过度处理靠近主要静脉或畸形血管团附近的供血动脉。	It is best not to aggressively and cavalierly manipulate the supplying vessels near the vein or the AVM nidus early in dissection.
处理动静脉畸形经验较少的医生常因为这种看似无辜的动机而陷入危机：	It is not uncommon for a novice AVM surgeon to get into trouble despite seemingly innocent maneuvers.
术者试图阻止白质内动脉的出血，但却在畸形血管团上造成破口。	The surgeon attempts to stop bleeding from an annoying white matter feeder, but instead finds himself or herself creating a defect in the nidus.
术者可能会试图使用双极去电凝供血动脉和畸形血管团，	At this point, it is tempting to use bipolar forceps and continue coagulating the feeder and the wall of the nidus.
然而这些操作只会导致更多的出血，迫使术者不断地进行的盲目电凝，从而激发畸形团内血流改变，出血会更加猛烈。	However, these maneuvers invariably lead to more nidal bleeding, forcing the surgeon to continue a vicious cycle of increasingly indiscriminate coagulation, which provokes even more torrential bleeding because of flow changes within the nidus.
随后，术者可能会损伤动静脉畸形血管团周围的主要引流静脉，	Before long, the surgeon injures the draining pedicle of the AVM leading to the primary vein around the circumference of the nidus.
破裂随之而来，猛烈的出血让医师反思为何会发生这种情况。	IOR ensues, and torrential bleeding leaves the surgeon questioning why this happened.
在动静脉畸形供血动脉全部切断之前，畸形血管团内部承受不住急剧的血流动力学改变。	Acute hemodynamic alternations within the nidus are not tolerated before all the major feeding vessels to the AVM are disconnected.
这一概念似乎总被低估。	This importance of this concept seems to be underestimated
动静脉畸形手术常常以优雅的显微外科操作开始，但却可能以极其血腥的方式收场，让外科医生受窘，并使患者留有严重的后遗症。	AVM surgery usually starts as the most beautiful, elegant, and pristine microsurgical operation, but it can finish as the bloodiest, most disruptive, and humbling one, leaving the pride of the embarrassed surgeon wounded and the patient facing serious complications.
动静脉畸形的破裂意味着它在这场和外科医生的战斗中取得胜利。	AVM rupture indicates that the patient and the surgeon have lost the battle and the AVM has won.
在这种情况下，笔者回顾了一些手术视频，对手术计划和执行失误进行了分析。	In these situations, I review the recorded video of the operation after surgery and analyze the lapses in strategic planning and execution.
这些从手术视频中获得的教训较为客观，其重要性不容忽视。	An objective and critical review of the video provides important lessons that cannot be undervalued.
动静脉畸形术中破裂的并发症处理	Complication Management during IOR of an AVM
当面对动静脉畸形术中时，	When I find myself facing torrential IOR during AVM surgery.
笔者会先退后一步，通过放大的视野来对术野进行观察，然后考量笔者的选择及相应后果。	I step back, inspect the operative field through demagnified oculars, and consider all of my options and their consequences.
无论笔者对接下来的过程多么清楚，这个观察的步骤都很重要，可以防止潜在的外科条件反射行为。	No matter how sure I am of the next step, this maneuver is important to prevent additional potentially calamitous reflexive operative responses.
术者的任何鲁莽操作都可能给患者神经功能带来极大代价。	Any seemingly audacious maneuver by the surgeon can make the patient pay a heavy price with a catastrophic neurological result.
这种紧迫、高压的情况，正是对术者成熟度的考验。	The maturity of the surgeon is tested when the fatigued surgeon is under intense pressure and has little time to respond.
如果发生巨大的出血，笔者会使用较大孔径的吸引器清理术野，并追踪血流。	If torrential bleeding occurs, I use a large bore suction to clear the field and follow the flow of the blood.
在放大的术野中，即使是技术纯熟的外科医生也会被快速涌出的血液打乱阵脚。	The rapid and spiraling rise in the tide of blood in the operative field under the magnified view of the microscope is unsettling and affects the composure of the most skillful surgeon.
一旦找到出血点，接下来的操作即被迅速并谨慎的计划出来。	Once the sources of bleeding are found, the next steps are planned quickly, but thoughtfully.
笔者会和麻醉师沟通，以便在关键时刻做出恰当的处理。	I communicate with the anesthesiologist regarding the critical state of the operation so the appropriate steps are taken.
笔者也会确认患者的收缩压保持在低于正常压力的20%左右。	I also confirm that the patient’s systolic blood pressure is at least temporarily approximately 20% below normal.
应注意避免血压过低，降低脑缺血的风险。	Profound hypotension is avoided to minimize the risk of cerebral ischemia.
动脉性出血	Arterial Bleeding
动脉性出血通常位于脑实质，且多为白质内的供血动脉。	Arterial bleeders are on the parenchymal side and are often deep white matter feeders.
这些供血血管发育高度不良，是动静脉畸形手术中最大的技术挑战。	These feeders are highly dysplastic and create the most technical challenge in AVM surgery.
这些血管很容易痉挛收缩到白质内，导致远端颅内出血及颅高压，迫使术者在切除动静脉畸形前选择仓促关颅。	They can easily retract into the white matter and lead to symptomatic remote intracerebral hemorrhage and brain tension, forcing the issue of premature closure before AVM removal.
如果出血活跃，应禁止术野填塞。	When brisk arterial bleeding occurs, packing the operative field is prohibited.
应使用大孔径吸引器清理术野，术者应追寻出血点。	A large bore suction is used to clear the field, and the surgeon pursues the flow of blood to find the source.
接下来，术者应使用小脑棉覆盖在出血点旁，防止吸引器损伤正常脑组织。	Next, the surgeon uses a small cottonoid patty to cover the area next to the bleeding point so that the force of the suction does not remove healthy brain tissue.
这些在白质深部的供血动脉缺乏可变形组织和平滑肌层，因此不易通过双极电凝止血。	The deep white matter feeders have little elastic tissue and smooth muscle layer, and therefore they do not constrict upon bipolar coagulation.
相反，它们会缩进白质内并继续猛烈的出血。	Instead, they continue to bleed vigorously and retract into the white matter.
位于白质内的供血动脉，应少量切除血管周围白质，在动静脉畸形的远端迅速暴露出血动脉，暴露至较为正常的节段，将出血血管部分吸入吸引器中进行牵拉，并沿暴露阶段进行电凝。	Deep white matter feeders must be isolated via removal of a small amount of the white matter immediately around them; their more normal segment away from the nidus is then exposed and coagulated along a portion of their segment by drawing a section of the bleeding vessel into the barrel of the suction device.
这一操作很重要，以避免动静脉畸形手术的相关发病率。	This maneuver is critical to avoid unnecessary morbidity associated with AVM surgery.
图1. 与皮层动脉相比，白质深部的小动脉的可变形组织和平滑肌层较少，因此不易通过电凝止血（上图）。	Figure 1: In contrast with cortical arterioles, the small caliber deep white matter feeders have little elastic tissue and smooth muscle layers, and therefore do not constrict upon bipolar coagulation (upper images).
它们可能会继续猛烈的出血，并缩到白质内，导致远离动静脉畸形部位的颅内出血。	They may continue to bleed vigorously, retract into the white matter, and cause intracerebral hemorrhage in an area of the brain away from the AVM.
白质深部出血的供血动脉应别定位，并动过移除小部分周围白质的方式暴露部分血管至相对正常的节段（左下图），远离畸形血管团，在此部位进行电凝或夹闭（右下图）。	Deep white matter feeders must be pursued and isolated via removal of a small amount of the white matter immediately around them (left lower image) so that their more proximal segment with relatively normal walls, away from the nidus, is preferably coagulated or clip ligated (right lower image).
在出血部位填压止血材料达不到有效的止血，只会给术者成功止血的假象，并导致由远处颅内出血引起的脑肿胀。	Packing the bleeding site with hemostatic materials will not attain hemostasis; this only provides the surgeon with a false sense of security and leads to brain swelling because of remote intracerebral hematomas.
在小动脉不能通过电凝方式止血时，可以使用动静脉畸形显微动脉夹（笔者更倾向于使用较小的动脉瘤夹）。	AVM microclips may be used (I prefer small aneurysm miniclips) if the small feeder continues to resist coagulation.
一般情况下，笔者通常不使用夹闭的方式，因为其效果不可靠，且其会影响后续显微操作。	In general, I avoid clips because they can be at times unreliable in their effect and their bulk interferes with the next steps of microdissection.
笔者曾目睹临近正常皮层的破裂，和血肿腔内压力不断增加后穿透低阻力区形成的喷射性出血，都是有这些被忽视的白质内动脉造成的。	I have also witnessed eruptive rupture of the adjacent normal cortex and explosive bleeding from this rupture site as the pressure gradient finds the path of least resistance to decompress the hematoma cavity caused by an overlooked white matter feeder.
使用止血材料覆盖出血点会给术者带来已经确切止血的假象。	Covering the bleeding points with hemostatic materials, including Surgicel, provides a false sense of security to the surgeon.
如果不能控制好室管膜和脑室脉络膜的动脉，可能造成严重的脑室内出血和骤然脑肿胀。	Loss of control over the ependymal and periventricular choroidal feeders can lead to massive intraventricular hemorrhage and sudden brain swelling.
这种出血很难被术者发现，可能仅以手术通道变窄和脑肿胀表现出来。	This type of bleeding may not be apparent in any form to the operator; its only presentation involves unexpected narrowing of the operative corridor and brain swelling.
因此，在处理动静脉畸形深部时发现此情况，笔者会随即探查术腔深部及临近的脑室，查看是否有进行性增大的血肿。	Therefore, if such brain swelling is encountered during dissection at the depth of the AVM, I immediately inspect first the depth of the cavity, and then the adjacent ventricle for an expanding hematoma.
如发现有这种进行性出血，笔者会顺着血流方向，清除挫伤的脑组织，暴露回缩到白质内未被确切止血的较大穿支动脉。	Under these unfortunate circumstances, I follow the trail of blood and remove the contused brain tissue only to find a deeply retracted large white matter perforator that previously seemed to have been under control.
这让笔者意识到对于白质内的供血动脉的精细止血至关重要，尤其是供应额部和基底节的动静脉畸形的豆纹动脉穿支，供应岛叶动静脉畸形的岛叶穿支动脉，和供应丘脑动静脉畸形的丘脑穿支动脉。	This complication has taught me that meticulous hemostasis of white matter feeders (especially the lenticulostriate perforators to frontal and basal ganglia AVMs, insular perforators to insular AVMs, and thalamoperforators to thalamic AVMs) cannot be underestimated.
这些动脉通常有足够长的节段可供用于确切止血。	A sizable segment of these white matter feeders must be available for their complete obliteration.
虽然可以使用夹闭的方式止血，但若没有足够正常的血管壁作为保证，这些发育不良的节段还可能发生破裂，以致严重后果。	Despite their clip ligation, if enough segment of the vessel with relatively normal walls is not secured, the incompetent dysplastic segment can rupture later and lead to catastrophe.
畸形血管团出血	Nidus Bleeding
畸形血管团的小出血可以通过温和的电凝来控制。	Minor bleeding from the nidus may be controlled using gentle coagulation.
但如果是畸形血管团上较大的破口所导致的出血，笔者会使用小脑棉对破口轻柔填塞。	However, if the bleeding is from a large defect within the nidus, I plug the defect with a small piece of cotton and gentle tamponade.
耐心等待，并用生理盐水冲洗，通常都能够控制出血。	Patience and saline irrigation often control the situation.
一味地电凝破口部只会使破口扩大，而且会导致畸形血管团内血流动力学的突然改变。	Coagulation of large defects enlarges the defect.
当有活动性出血时，这种突然变化会加重术中出血情况。	Moreover, this maneuver can lead to sudden hemodynamic changes with the nidus, and in the presence of live feeding vessels, this can cause more extensive IORs.
静脉性出血	Venous Bleeding
主要引流静脉的微小损伤可以通过轻柔双极电凝来处理，而不影响静脉内的血流。	Very minor injury to the primary vein can be managed with gentle bipolar coagulation to close the defect without scarifying the flow within the lumen of the vein.
此外，使用小脑棉轻柔填压也可以有效的处理较小的静脉性出血。	In addition, a small cottonoid patty and gentle tamponade can be effective.
如果笔者在找到并处理供血动脉前，不可避免的撕裂静脉且不能进行修复，笔者不会阻断静脉。在这种情况下阻断静脉会使动静脉畸形突然破裂、立即发生脑肿胀。	If I inadvertently tear the vein beyond any chance of repair before the large feeding arteries are encountered and sacrificed, I do not occlude the vein, because this maneuver will lead to sudden AVM rupture and immediate brain swelling.
在找到并切断畸形血管团的供血动脉前，笔者不会处理此时的静脉出血，而是用大孔径的吸引器清理术野。	I allow the vein to bleed while I efficiently find the feeding arteries of the nidus and disconnect them while using a large bore suction to clear the field.
较小的供血动脉可以留到稍后处理。	Smaller feeding vessels are left for later.
